Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_200",5001021091,0.00500011,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.0001_s_300",5001030042,0.00500011,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_100",5010009252,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_200",5010020266,0.00400019,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.001_s_300",5010030307,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_100",5100010075,0.00300002,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_200",5100020242,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.01_s_300",5100031650,0.00300002,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_100",6000010230,0.0079999,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_200",6000019896,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0.1_s_300",6000030672,0.00700021,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_100",10000006818,0.016,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_200",10000014402,0.0120001,0
"n_1000_c_10000000000_g_2_f_0.2_eps_0_s_300",10000020319,0.00900006,0
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_100",5000110229,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_200",5000119902,0.0059998,0
"n_1000_c_10000000000_g_2_f_0.2_eps_1e-05_s_300",5000130097,0.00600004,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_100",5001016164,0.0079999,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_200",5001030419,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.0001_s_300",5001044129,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_100",5010014765,0.00499988,3.992e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_200",5010031039,0.00499988,1.996e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.001_s_300",5010044848,0.00399995,1.99599e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_100",5100015013,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_200",5100031464,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.01_s_300",5100047423,0.00699997,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_100",6000016394,0.00499988,6.66665e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_200",6000030837,0.00800014,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0.1_s_300",6000043420,0.00500011,8.33327e-10
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_100",10000009875,0.00900006,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_200",10000020348,0.00900006,0
"n_1000_c_10000000000_g_2_f_0.3_eps_0_s_300",10000029315,0.00999999,0
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_100",5000116037,0.00700021,0
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_200",5000130086,0.00399995,0
"n_1000_c_10000000000_g_2_f_0.3_eps_1e-05_s_300",5000144494,0.00499988,1.99994e-10
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_100",9718508231,60.004,0.0289646
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_200",9718515863,60.007,0.0289643
"n_1000_c_10000000000_g_6_f_0.1_eps_0.0001_s_300",9718524047,60.007,0.028964
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_100",9997508252,60.003,0.000249583
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_200",9997516365,61.561,0.000249197
"n_1000_c_10000000000_g_6_f_0.1_eps_0.001_s_300",9997523981,60.005,0.00024843
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_100",9975005274,60.007,0.00250591
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_200",9962510823,61.611,0.0037636
"n_1000_c_10000000000_g_6_f_0.1_eps_0.01_s_300",9975016220,61.676,0.00250557
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_100",10000003672,0.494,3.58333e-08
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_200",10000007191,1.794,3.154e-08
"n_1000_c_10000000000_g_6_f_0.1_eps_0.1_s_300",10000011773,1.893,9.77379e-08
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_100",10000006084,0.0139999,0
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_200",10000011468,0.00800014,0
"n_1000_c_10000000000_g_6_f_0.1_eps_0_s_300",10000015702,0.00800014,0
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_100",9690607330,60.006,0.0319271
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_200",9690615613,60.007,0.0319268
"n_1000_c_10000000000_g_6_f_0.1_eps_1e-05_s_300",9690622638,60.005,0.0319263
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_100",9718512096,60.212,0.0289646
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_200",9718525631,60.007,0.0289638
"n_1000_c_10000000000_g_6_f_0.2_eps_0.0001_s_300",9718536488,61.611,0.028963
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_100",9997512594,60.005,0.00024929
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_200",9997523272,60.007,0.000248615
"n_1000_c_10000000000_g_6_f_0.2_eps_0.001_s_300",9997537094,61.346,0.000247884
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_100",9975011190,60.011,0.00250562
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_200",9975020720,60.006,0.00250519
"n_1000_c_10000000000_g_6_f_0.2_eps_0.01_s_300",9975033340,60.838,0.0025045
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_100",10000006514,2.125,3.35047e-08
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_200",10000013377,1.598,3.80523e-08
"n_1000_c_10000000000_g_6_f_0.2_eps_0.1_s_300",10000021092,2.075,8.74046e-08
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_100",10000009213,0.0209999,0
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_200",9687527045,60.008,0.0322563
