Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_100",100004173,0.423,2.50289e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_200",100011317,0.0250001,2.96341e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_300",100011618,1.799,9.90688e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_100",99972914,60.008,0.000315858
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_200",99983410,60.004,0.000241089
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_300",99994229,60.007,0.000184723
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_100",99828012,60.038,0.00181621
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_200",99850843,60.007,0.0016466
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_300",99872342,60.009,0.0015295
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_100",99999231,3.05,9.54461e-05
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_200",100012496,6.643,7.25919e-05
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_300",100017877,0.108,8.90355e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_100",100007511,0.715,3.66893e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_200",100012213,0.113,7.96288e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_300",100027975,0.0599999,5.2968e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_100",100008319,0.0309999,1.76493e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_200",100013766,0.016,7.40861e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_300",100028244,0.304,4.94656e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_100",100003857,0.208,4.94805e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_200",100010459,1.913,6.45215e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_300",100018098,2.532,7.39118e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_100",99978270,60.01,0.000275399
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_200",99994671,60.004,0.000184539
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_300",100005767,2.555,9.36869e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_100",99832156,60.009,0.00174482
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_200",99859623,60.004,0.00160727
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_300",99887621,60.015,0.00136429
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_100",100001269,16.774,9.1984e-05
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_200",100015380,8.932,4.94074e-05
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_300",100019159,9.446,9.94201e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_100",100009169,0.016,2.46622e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_200",100018174,0.0140002,4.66105e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_300",100024891,0.017,8.10581e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_100",100007374,0.0220001,3.84307e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_200",100017257,0.0140002,4.93786e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_300",100030393,0.02,3.38579e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_100",100004011,0.0220001,2.51933e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_200",100009303,0.0539999,4.62073e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_300",100019693,0.053,2.68497e-06
"n_1000_c_100000000_g_14_f_0.1_eps_0.1_s_100",100000793,0.409,1.95471e-05
