Name,Best known Obj,Obj Fn,Runtime,MIPGAP
148_150_15_1,-5131.76256753627,-5131.76256753627,0.412999868392944,0
149_150_15_7,-14123.5023061632,-14123.5023061632,4.867999792099,0
150_150_15_15,-4948.4207434204,-4948.4207434204,2.54299998283386,2.59661615597045e-05
151_150_30_1,-2882.12275639211,-2882.12275639211,0.44100022315979,0
152_150_30_15,-19357.253323638,-19357.253323638,6.80699992179871,0
153_150_30_30,-8971.0710076378,-8971.07100763779,9.66299986839294,0
154_200_5_1,-15841.3456149293,-15841.3456149293,0.299000024795532,0
155_200_5_2,-6581.75127633749,-6581.75127633749,1.63499999046326,0
156_200_5_5,-20410.2042033323,-20410.2042033323,1.2480001449585,7.01394087747445e-05
157_200_15_1,-12882.6888123614,-12882.6888123614,0.0299999713897705,0
158_200_15_7,-17515.968142915,-17515.968142915,3.02500009536743,0
159_200_15_15,-17737.6950306422,-17737.6950306422,1.0699999332428,9.74655691396842e-05
160_200_30_1,-5055.34817851718,-5055.34817851718,0.323999881744385,0
161_200_30_15,-24086.5716122533,-24086.5716122533,3.63300013542175,0
162_200_30_30,-22286.5563023438,-22286.5563023438,20.3479998111725,0
163_250_5_1,-20004.0394795321,-20004.0394795321,0.122999906539917,0
164_250_5_2,-3469.00366052526,-3469.00366052526,0.405999898910522,0
165_250_5_5,-23905.0696059141,-23905.0696059141,3.29399991035461,0
166_250_15_1,-3374.08868135357,-3374.08868135357,0.356000185012817,0
167_250_15_7,-12653.9312997878,-12653.9312997878,2.01699995994568,0
168_250_15_15,-23980.5077586182,-23980.5077586182,4.43099999427795,4.38572731994836e-05
169_250_30_1,-12417.334352126,-12417.334352126,1.5460000038147,0
170_250_30_15,-33628.6494661544,-33628.6494661544,7.1560001373291,0
171_250_30_30,-11669.739573766,-11669.739573766,10.6180000305176,0
172_500_5_1,-7655.15361287419,-7655.15361287419,0.700999975204468,0
173_500_5_2,-12982.3656179336,-12982.3656179336,2.18599987030029,0
174_500_5_5,-44373.3771712749,-44373.3771712749,3.33399987220764,0
175_500_15_1,-21270.1910461489,-21270.1910461489,0.401000022888184,0
176_500_15_7,-29712.2453820188,-29712.2453820188,5.76799988746643,0
177_500_15_15,-32326.7267611438,-32326.7267611438,5.26300001144409,0
178_500_30_1,-20030.860428321,-20030.860428321,0.113999843597412,8.97945560805884e-05
179_500_30_15,-71019.7521861665,-71021.0017383706,3600.10199999809,0.000291306952264117
180_500_30_30,-45733.9882487198,-45733.9882487198,5.50800013542175,7.89776058329606e-05
